phenotype_id,fact_concept
29,ICD10:F14.929
29,ICD10:F14.94
29,ICD10:F15.10
29,ICD10:F15.20
29,ICD10:F15.23
29,ICD10:F15.90
29,ICD10:F15.921
29,ICD10:F15.93
29,ICD10:F15.99
29,ICD10:F16.10
29,ICD10:F16.20
29,ICD10:F16.283
29,ICD10:F17.299
29,ICD10:F18.10
29,ICD10:F19.10
29,ICD10:F19.11
29,ICD10:F19.180
29,ICD10:F19.20
29,ICD10:F19.21
29,ICD10:F19.230
29,ICD10:F19.231
29,ICD10:F19.239
29,ICD10:F19.90
29,ICD10:F19.920
29,ICD10:F19.921
29,ICD10:F19.929
29,ICD10:F19.930
29,ICD10:F19.931
29,ICD10:F19.939
29,ICD10:F19.94
29,ICD10:F19.950
29,ICD10:F19.951
29,ICD10:F19.959
29,ICD10:F19.96
29,ICD10:F19.980
29,ICD10:F19.982
29,ICD10:F19.988
29,ICD10:F19.99
29,ICD9:304.00
29,ICD9:304.01
29,ICD9:304.02
29,ICD9:304.03
29,ICD9:304.10
29,ICD9:304.11
29,ICD9:304.12
29,ICD9:304.13
29,ICD9:304.20
29,ICD9:304.21
29,ICD9:304.22
29,ICD9:304.23
29,ICD9:304.30
29,ICD9:304.31
29,ICD9:304.32
29,ICD9:304.33
29,ICD9:304.40
29,ICD9:304.41
29,ICD9:304.42
29,ICD9:304.50
29,ICD9:304.60
29,ICD9:304.61
29,ICD9:304.63
29,ICD9:304.70
29,ICD9:304.71
29,ICD9:304.72
29,ICD9:304.73
29,ICD9:304.80
29,ICD9:304.81
29,ICD9:304.83
29,ICD9:304.90
29,ICD9:304.91
29,ICD9:304.92
29,ICD9:304.93
29,ICD9:305.0
29,ICD9:305.00
29,ICD9:305.01
29,ICD9:305.02
29,ICD9:305.03
29,ICD9:305.1
29,ICD9:305.10
29,ICD9:305.11
29,ICD9:305.13
29,ICD9:305.20
29,ICD9:305.21
29,ICD9:305.22
29,ICD9:305.23
29,ICD9:305.30
29,ICD9:305.40
29,ICD9:305.41
29,ICD9:305.42
29,ICD9:305.43
29,ICD9:305.50
29,ICD9:305.51
29,ICD9:305.52
29,ICD9:305.53
29,ICD9:305.60
29,ICD9:305.61
29,ICD9:305.62
29,ICD9:305.63
29,ICD9:305.70
29,ICD9:305.71
29,ICD9:305.72
29,ICD9:305.73
29,ICD9:305.80
29,ICD9:305.81
29,ICD9:305.83
29,ICD9:305.90
29,ICD9:305.91
29,ICD9:305.92
29,ICD9:305.93
30,RXNORM:1000050
30,RXNORM:1000052
